,X,RespondentId,Enroll,Employ,Working,Hrs,Age,Ethnicity,Income,Classification,College,Commute,Alone,Dependents,HoH,Live,FedAid,PA,FreqNightElse,UTEPHomeless,Year,HH3,HH4,AD1,AD1a,AD2,AD3,index,Gender,USDAcat,YR_2019,YR_2020,YR_2021,YR_2022,Ethn_Hisp,Ethn_AIAN,Ethn_Asian,Ethn_Black,Ethn_NHPI,Ethn_White,Ethn_Other,Coll_BSN,Coll_EDU,Coll_ENGN,Coll_HS,Coll_LART,Coll_SCI,Coll_NRS,Coll_PHR,Coll_Other,Coll_NA,Gend_F,Gend_M,Gend_T,Gend_NC,Gend_Other,Gend_PNA,Gendercats
14791,14791,87974248,Full-time,Part-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Junior,2,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14793,14793,87974258,Full-time,No,NA,NA,2,1,"$70,000 to $79,999",Sophomore,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,0,NA,0,0,2,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14797,14797,87974409,Full-time,Full-time,Off campus,More than 19 hours,2,1,"$20,000 to $29,999",Sophomore,7,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,1,1,2,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14801,14801,87974414,Full-time,Full-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Junior,1,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14806,14806,87974775,Full-time,Part-time,Off campus,19 hours or less,2,1,"Less than $10,000",Freshman,4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,0,NA,1,0,3,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14810,14810,87975037,Part-time,Full-time,Off campus,More than 19 hours,4,1,"$30,000 to $39,999",Senior,2,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Loans,Yes,NA,No,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14812,14812,87975042,Full-time,Part-time,Off campus,More than 19 hours,2,1,"$40,000 to $49,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14814,14814,87975048,Part-time,Full-time,Off campus,More than 19 hours,3,1,"$30,000 to $39,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14816,14816,87975117,Part-time,Part-time,Off campus,More than 19 hours,2,1,"$100,000 or more",Sophomore,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male
14818,14818,87975127,Full-time,No,NA,NA,2,1,"Less than $10,000",Freshman,1,Trolley,No,None,No,Off campus with parents,Loans,Yes,NA,No,2020,0,1,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14820,14820,87975134,Full-time,No,NA,NA,2,1,"$90,000 to $99,999",Sophomore,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,1,0,0,NA,0,0,1,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14822,14822,87975139,Part-time,No,NA,NA,3,1,"Less than $10,000",Senior,2,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Grants,No,Often,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14824,14824,87975156,Full-time,Full-time,Off campus,19 hours or less,2,1,"Less than $10,000",Freshman,2,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14826,14826,87975255,Full-time,Full-time,Off campus,More than 19 hours,2,1,"Less than $10,000",Freshman,7,Bus/Public transportation,No,None,Yes,Off campus with parents,Loans,Yes,NA,No,2020,1,1,1,0,1,1,5,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14828,14828,87975291,Part-time,Full-time,On campus,More than 19 hours,2,1,"$60,000 to $69,999",Junior,4,Car (alone),No,2,Yes,Off campus with parents,Work-study,Yes,NA,No,2020,0,1,1,1,1,0,4,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14831,14831,87975485,Full-time,Part-time,Off campus,19 hours or less,3,1,"$20,000 to $29,999",Graduate (Masters),6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male
14833,14833,87975589,Full-time,No,NA,NA,2,1,"$50,000 to $59,999",Junior,6,Other,No,None,No,On campus,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14835,14835,87975637,Full-time,Part-time,Off campus,19 hours or less,4,"1, 6","$90,000 to $99,999",Graduate (Masters),7,Car (alone),No,2,Yes,Off campus with parents,Loans,Yes,NA,No,2020,0,1,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14837,14837,87975691,Full-time,Full-time,Off campus,More than 19 hours,3,1,"$30,000 to $39,999",Senior,6,Trolley,No,None,No,Off campus with parents,Loans,Yes,NA,No,2020,1,1,0,NA,0,0,2,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14841,14841,87975718,Full-time,Part-time,Off campus,19 hours or less,2,1,"$30,000 to $39,999",Freshman,3,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,1,0,NA,1,0,2,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14843,14843,87975735,Part-time,Part-time,Off campus,More than 19 hours,2,"1, 6","$70,000 to $79,999",Senior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14847,14847,87975772,Full-time,No,NA,NA,2,1,"$70,000 to $79,999",Freshman,5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14849,14849,87975862,Full-time,No,NA,NA,2,1,"$20,000 to $29,999",Freshman,1,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14851,14851,87975868,Full-time,No,NA,NA,2,1,"Less than $10,000",Senior,4,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Scholarship,No,Often,No,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14853,14853,87975922,Full-time,Full-time,Off campus,More than 19 hours,3,1,"$60,000 to $69,999",Graduate (Masters),7,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,1,0,1,0,4,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14855,14855,87975968,Full-time,No,NA,NA,3,1,"$10,000 to $19,999",Junior,6,Trolley,No,2,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14857,14857,87977837,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14859,14859,87977919,Part-time,No,NA,NA,4,"1, 6","Less than $10,000",Senior,9,"Not applicable (live on-campus, don’t commute)",No,2,Yes,Off campus with partner,Loans,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Female
14861,14861,87978621,Part-time,Full-time,Off campus,More than 19 hours,3,6,"$70,000 to $79,999",Senior,2,Bike,No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,0,1,1,0,0,0,2,1,Low FS,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14863,14863,87978860,Full-time,Part-time,Off campus,19 hours or less,2,6,"$70,000 to $79,999",Graduate (Masters),5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,0,1,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14865,14865,87978904,Part-time,Part-time,Off campus,19 hours or less,3,1,"$30,000 to $39,999",Senior,4,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Grants,Yes,NA,Yes,2020,1,1,1,0,0,0,3,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14867,14867,87979569,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Sophomore,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14871,14871,87979666,Part-time,Part-time,Off campus,19 hours or less,4,1,"$40,000 to $49,999",Senior,2,Car (someone drives to campus and picks you up),No,1,Yes,Off campus with parents,Work-study,Yes,NA,No,2020,0,1,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14873,14873,87979707,Part-time,Full-time,On campus,More than 19 hours,4,6,"$80,000 to $89,999",Doctoral,2,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Grants,Yes,NA,Yes,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14874,14874,87979752,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Freshman,5,Car (alone),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Male
14876,14876,87979822,Part-time,Part-time,Off campus,More than 19 hours,3,1,"$40,000 to $49,999",Junior,6,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with partner,Work-study,Yes,NA,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14877,14877,87980045,Full-time,No,NA,NA,2,1,"Less than $10,000",Senior,5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14880,14880,87982644,Part-time,No,NA,NA,2,1,"$30,000 to $39,999",Senior,1,Car (alone),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14884,14884,87982899,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Junior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14885,14885,87983142,Part-time,Part-time,On campus,More than 19 hours,3,1,"$30,000 to $39,999",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,0,1,0,NA,0,1,2,2,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Male
14887,14887,87983445,Full-time,No,NA,NA,3,1,"$10,000 to $19,999",Junior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,No,Sometimes,No,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14891,14891,87983588,Full-time,Full-time,Off campus,More than 19 hours,3,1,"$20,000 to $29,999",Freshman,4,Car (someone drives to campus and picks you up),No,2,Yes,Off campus with parents,Loans,Yes,NA,No,2020,1,0,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14892,14892,87983970,Full-time,Full-time,Off campus,More than 19 hours,3,6,"$100,000 or more",Graduate (Masters),7,"Not applicable (live on-campus, don’t commute)",No,1,Yes,Off campus with parents,Work-study,No,Often,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14897,14897,87984696,Full-time,Part-time,Off campus,19 hours or less,2,"1, 6","$100,000 or more",Junior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,Yes,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14902,14902,87985177,Full-time,Part-time,Off campus,19 hours or less,2,1,"Less than $10,000",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14903,14903,87985178,Full-time,Part-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,1,0,NA,0,0,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14904,14904,87985180,Full-time,Part-time,Off campus,19 hours or less,2,1,"$30,000 to $39,999",Senior,6,Bus/Public transportation,No,None,No,Off campus with parents,Scholarship,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male
14905,14905,87985181,Full-time,Part-time,Off campus,19 hours or less,3,1,"$10,000 to $19,999",Sophomore,5,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner and kids,Loans,Yes,NA,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14911,14911,87985191,Part-time,Full-time,Off campus,More than 19 hours,2,1,"$10,000 to $19,999",Sophomore,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,Yes,NA,No,2020,1,1,1,0,1,1,5,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14912,14912,87985193,Part-time,Part-time,Off campus,19 hours or less,2,1,"$50,000 to $59,999",Senior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with partner,Work-study,Yes,NA,No,2020,1,1,1,0,1,0,4,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14913,14913,87985194,Part-time,Part-time,Off campus,More than 19 hours,2,"1, 6","$70,000 to $79,999",Junior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Grants,No,Rarely,Yes,2020,1,1,1,0,1,1,5,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14915,14915,87985196,Full-time,Part-time,Off campus,19 hours or less,2,1,"$30,000 to $39,999",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14916,14916,87985197,Part-time,Part-time,Off campus,19 hours or less,2,1,"$40,000 to $49,999",Senior,7,Car (someone drives to campus and picks you up),No,None,NA,NA,Grants,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,1,NA,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14917,14917,87985198,Full-time,Part-time,On campus,19 hours or less,2,1,"$20,000 to $29,999",Junior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14919,14919,87985201,Full-time,No,NA,NA,2,"1, 6","$10,000 to $19,999",Junior,3,Trolley,Yes,NA,No,Off campus with partner,Grants,Yes,NA,No,2020,NA,NA,NA,NA,NA,NA,NA,1,NA,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14922,14922,87985204,Full-time,No,NA,NA,3,5,"$30,000 to $39,999",Senior,6,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Loans,Yes,NA,No,2020,1,1,1,1,1,1,6,2,Very Low FS,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Male
14924,14924,87985207,Part-time,No,NA,NA,2,1,"$90,000 to $99,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14925,14925,87985208,Full-time,Part-time,Off campus,19 hours or less,3,1,"$50,000 to $59,999",Senior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14927,14927,87985210,Full-time,Full-time,Off campus,19 hours or less,3,1,"$70,000 to $79,999",Sophomore,5,Car (alone),No,None,No,Off campus with partner,Scholarship,Yes,NA,No,2020,1,1,1,1,1,1,6,2,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Male
14932,14932,87985215,Full-time,No,NA,NA,2,1,"$70,000 to $79,999",Junior,2,Car (someone drives to campus and picks you up),No,2,No,Off campus with parents,Grants,Yes,NA,No,2020,1,1,0,NA,1,0,3,2,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14941,14941,87985225,Full-time,No,NA,NA,3,"1, 6","$20,000 to $29,999",Senior,1,Car (someone drives to campus and picks you up),No,None,Yes,Off campus with partner,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,2,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14942,14942,87985226,Full-time,No,NA,NA,3,1,"$20,000 to $29,999",Junior,5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,1,1,0,NA,0,0,2,2,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Male
14945,14945,87985230,Full-time,No,NA,NA,2,1,"$20,000 to $29,999",Senior,2,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14947,14947,87985232,Full-time,No,NA,NA,3,1,"$30,000 to $39,999",Senior,7,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Female
14949,14949,87985234,Full-time,Part-time,Off campus,More than 19 hours,3,1,"$60,000 to $69,999",Senior,3,Car (someone drives to campus and picks you up),No,1,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,1,1,0,NA,0,0,2,2,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14950,14950,87985235,Full-time,Part-time,Off campus,19 hours or less,3,1,"$10,000 to $19,999",Junior,5,Car (someone drives to campus and picks you up),No,1,No,Off campus with partner,Loans,Yes,NA,No,2020,1,1,1,1,0,0,4,1,Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14955,14955,87985240,Full-time,Part-time,Off campus,More than 19 hours,2,"1, 6","$100,000 or more",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Grants,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14959,14959,87985244,Full-time,Part-time,On campus,19 hours or less,2,1,"Less than $10,000",Junior,1,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,1,1,1,1,1,1,6,2,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Male
14962,14962,87985247,Full-time,Part-time,Off campus,19 hours or less,3,1,"$60,000 to $69,999",Graduate (Masters),4,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,No,2020,0,0,0,NA,0,0,0,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14963,14963,87985248,Full-time,Part-time,Off campus,More than 19 hours,2,1,"$50,000 to $59,999",Graduate (Masters),5,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
14964,14964,87985251,Full-time,No,NA,NA,2,1,"$10,000 to $19,999",Junior,6,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Work-study,Yes,NA,Yes,2020,1,1,1,0,1,1,5,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female
14966,14966,87985253,Part-time,No,NA,NA,3,1,"$60,000 to $69,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,No,2020,1,0,0,NA,NA,NA,1,1,Marginal/High FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female
14969,14969,87985257,Full-time,Part-time,Off campus,19 hours or less,2,1,"$40,000 to $49,999",Senior,5,Trolley,No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2020,1,1,1,1,1,1,6,1,Very Low FS,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Female
